group,ticker,mapped_cusip,report_date,shares_held_total,value_usd_thousands_total,shares_outstanding
BVS,AMZN,023135106,2023-12-31,370496345,56293214660,10334030586
BVS,AMZN,023135106,2024-03-31,377478953,68089653542,10387381291
BVS,AMZN,023135106,2024-06-30,374421783,72357009564,10406627415
BVS,AMZN,023135106,2024-09-30,410085582,76411246494,10495566881
BVS,AMZN,023135106,2024-12-31,415726743,91212898643,10515011008
BVS,AMZN,023135106,2025-03-31,407854658,77598427231,10597729352
BVS,AMZN,023135106,2025-06-30,415361032,91126056810,10616352407
BVS,AMZN,023135106,2025-09-30,403221653,88535378349,10664912097
BVS,AMZN,023135106,2025-12-31,21157972,4883683097,10690216011
BVS,MSFT,594918104,2013-06-30,548629512,18947335,8351106590
BVS,MSFT,594918104,2013-09-30,553498905,18430700,8329956402
BVS,MSFT,594918104,2013-12-31,560062059,20958967,8347968348
BVS,MSFT,594918104,2014-03-31,519822308,21307526,8300723725
BVS,MSFT,594918104,2014-06-30,524341583,21865062,8260411967
BVS,MSFT,594918104,2014-09-30,558208961,25878554,8239848789
BVS,MSFT,594918104,2014-12-31,580200311,26950295,8242852827
BVS,MSFT,594918104,2015-03-31,565819291,23003386,8203785341
BVS,MSFT,594918104,2015-06-30,530762175,23433147,8089575277
BVS,MSFT,594918104,2015-09-30,509333976,22543126,7997980969
BVS,MSFT,594918104,2015-12-31,514694533,28555245,7987913152
BVS,MSFT,594918104,2016-03-31,528445422,29186037,7909302774
BVS,MSFT,594918104,2016-06-30,515191055,26362409,7860466856
BVS,MSFT,594918104,2016-09-30,524815220,30229365,7792515573
BVS,MSFT,594918104,2016-12-31,527306835,32766846,7775350501
BVS,MSFT,594918104,2017-03-31,337663629,22238525,7727529820
BVS,MSFT,594918104,2017-06-30,329116967,22686139,7720514731
BVS,MSFT,594918104,2017-09-30,315243512,23482489,7702243979
BVS,MSFT,594918104,2017-12-31,325543725,27847018,7714590195
BVS,MSFT,594918104,2018-03-31,310814641,28368059,7699792852
BVS,MSFT,594918104,2018-06-30,320666069,31620881,7683197503
BVS,MSFT,594918104,2018-09-30,335322215,38350798,7668217316
BVS,MSFT,594918104,2018-12-31,326842890,33197432,7676218736
BVS,MSFT,594918104,2019-03-31,341101498,40229511,7672213446
BVS,MSFT,594918104,2019-06-30,340441601,45605557,7662817920
BVS,MSFT,594918104,2019-09-30,337025439,46856646,7635409400
BVS,MSFT,594918104,2019-12-31,338873153,53440296,7628805618
BVS,MSFT,594918104,2020-03-31,938713226,148044464,7606047010
BVS,MSFT,594918104,2020-06-30,343926062,69992393,7583440247
BVS,MSFT,594918104,2020-09-30,917157540,192905745,7567652935
BVS,MSFT,594918104,2020-12-31,327712979,72889920,7560495969
BVS,MSFT,594918104,2021-03-31,320294485,75515830,7542215767
BVS,MSFT,594918104,2021-06-30,321372254,87059744,7531574551
BVS,MSFT,594918104,2021-09-30,894635981,252215776,7514891248
BVS,MSFT,594918104,2021-12-31,905042681,304383954,7507980444
BVS,MSFT,594918104,2022-03-31,908366470,280058466,7496866428
BVS,MSFT,594918104,2022-06-30,907206444,232997831,7479033135
BVS,MSFT,594918104,2022-09-30,915083389,213122920,7457891872
BVS,MSFT,594918104,2022-12-31,316851653,75987363422,7454473144
BVS,MSFT,594918104,2023-03-31,925693172,266877111503,7443803533
BVS,MSFT,594918104,2023-06-30,931469899,317202759405,7435487575
BVS,MSFT,594918104,2023-09-30,921534460,290974505746,7429763722
BVS,MSFT,594918104,2023-12-31,318880602,119911861576,7432262329
BVS,MSFT,594918104,2024-03-31,321387652,135214212949,7430436229
BVS,MSFT,594918104,2024-06-30,320931195,143440197605,7432305794
BVS,MSFT,594918104,2024-09-30,945251818,406741857285,7433038381
BVS,MSFT,594918104,2024-12-31,960078063,404679066786,7434880776
BVS,MSFT,594918104,2025-03-31,967521826,363198018262,7433982235
BVS,MSFT,594918104,2025-06-30,984408595,489654679239,7432543865
BVS,MSFT,594918104,2025-09-30,328146404,169963429951,7433166379
BVS,MSFT,594918104,2025-12-31,644039633,311470447311,7432377655
