group,ticker,mapped_cusip,report_date,shares_or_principal_consolidated,value_usd_thousands_consolidated,consolidation_method,selected_filer_cik,selected_accession,selected_filing_date,shares_outstanding
StateStreet,AMZN,023135106,2024-06-30,347809681,67214220853,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-24-000681,2024-08-14,10406627415
StateStreet,AMZN,023135106,2024-09-30,359179990,66926007537,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-24-000933,2024-11-14,10495566881
StateStreet,AMZN,023135106,2024-12-31,364859027,80053030430,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-25-000123,2025-02-14,10515011008
StateStreet,AMZN,023135106,2025-03-31,368934077,70193397490,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-25-000351,2025-05-15,10597729352
StateStreet,AMZN,023135106,2025-06-30,374097285,82073203356,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-25-000521,2025-08-14,10616352407
StateStreet,AMZN,023135106,2025-09-30,381681441,83805794000,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-25-000651,2025-11-14,10664912097
StateStreet,MSFT,594918104,2013-06-30,328873653,11356025,MAX_ACROSS_FILER_CIKS,0000093751,0000950123-13-005634,2013-08-08,8351106590
StateStreet,MSFT,594918104,2013-09-30,331861175,11054291,MAX_ACROSS_FILER_CIKS,0000093751,0000950123-13-008998,2013-11-12,8329956402
StateStreet,MSFT,594918104,2013-12-31,343007487,12838760,MAX_ACROSS_FILER_CIKS,0000093751,0000950123-14-001215,2014-02-06,8347968348
StateStreet,MSFT,594918104,2014-03-31,310651655,12733621,MAX_ACROSS_FILER_CIKS,0000093751,0000950123-14-006277,2014-05-15,8300723725
StateStreet,MSFT,594918104,2014-06-30,313352602,13066821,MAX_ACROSS_FILER_CIKS,0000093751,0000950123-14-008382,2014-08-12,8260411967
StateStreet,MSFT,594918104,2014-09-30,336509026,15600545,MAX_ACROSS_FILER_CIKS,0000093751,0000950123-14-011410,2014-11-12,8239848789
StateStreet,MSFT,594918104,2014-12-31,348690910,16196684,MAX_ACROSS_FILER_CIKS,0000093751,0000950123-15-001420,2015-02-11,8242852827
StateStreet,MSFT,594918104,2015-03-31,334752074,13609349,MAX_ACROSS_FILER_CIKS,0000093751,0001628280-15-004225,2015-05-15,8203785341
StateStreet,MSFT,594918104,2015-06-30,310763146,13720189,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-15-000188,2015-08-13,8089575277
StateStreet,MSFT,594918104,2015-09-30,302780500,13401069,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-15-000232,2015-11-16,7997980969
StateStreet,MSFT,594918104,2015-12-31,306026338,16978333,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-16-000421,2016-02-16,7987913152
StateStreet,MSFT,594918104,2016-03-31,307148279,16963796,MAX_ACROSS_FILER_CIKS,0000093751,0001628280-16-016545,2016-05-20,7909302774
StateStreet,MSFT,594918104,2016-06-30,298308197,15264514,MAX_ACROSS_FILER_CIKS,0000093751,0001628280-16-018963,2016-08-12,7860466856
StateStreet,MSFT,594918104,2016-09-30,307372229,17704648,MAX_ACROSS_FILER_CIKS,0000093751,0001628280-17-000223,2017-01-13,7792515573
