group,ticker,mapped_cusip,report_date,shares_or_principal_consolidated,value_usd_thousands_consolidated,consolidation_method,selected_filer_cik,selected_accession,selected_filing_date,shares_outstanding
BlackRock,AMZN,023135106,2021-03-31,1084091,3354264,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-21-000038,2021-05-07,503564743
BlackRock,AMZN,023135106,2021-06-30,1044240,3592353,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-21-000071,2021-08-11,504323736
BlackRock,AMZN,023135106,2021-09-30,1033666,3395634,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-21-000104,2021-11-09,506440520
BlackRock,AMZN,023135106,2021-12-31,968315,3228691,MAX_ACROSS_FILER_CIKS,0001364742,0000834237-22-008654,2022-02-10,507147620
BlackRock,AMZN,023135106,2022-03-31,917327,2990440,MAX_ACROSS_FILER_CIKS,0001364742,0000834237-22-009651,2022-05-12,508844410
BlackRock,AMZN,023135106,2022-06-30,18151421,1927862,MAX_ACROSS_FILER_CIKS,0001364742,0000834237-22-010526,2022-08-12,508720481
BlackRock,AMZN,023135106,2022-09-30,18201913,2056816,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-22-000004,2022-11-14,10187554818
BlackRock,AMZN,023135106,2022-12-31,18401055,1545688620,MAX_ACROSS_FILER_CIKS,0001364742,0000913414-23-000035,2023-02-13,10201654176
BlackRock,AMZN,023135106,2023-03-31,18436382,1904293897,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-23-000015,2023-05-12,10247259757
BlackRock,AMZN,023135106,2023-06-30,18506331,2412485309,MAX_ACROSS_FILER_CIKS,0001364742,0001306550-23-009732,2023-08-11,10260353688
BlackRock,AMZN,023135106,2023-09-30,18394258,2338278077,MAX_ACROSS_FILER_CIKS,0001364742,0001306550-23-010335,2023-11-13,10317750796
BlackRock,AMZN,023135106,2023-12-31,19016470,2889362452,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-24-006999,2024-02-13,10334030586
BlackRock,AMZN,023135106,2024-03-31,19059274,3437911844,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-24-007638,2024-05-10,10387381291
BlackRock,AMZN,023135106,2024-06-30,19677852,3802744899,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-24-008417,2024-08-13,10406627415
BlackRock,AMZN,023135106,2024-09-30,19646830,3660793834,MAX_ACROSS_FILER_CIKS,0002012383,0001426459-24-000006,2024-11-13,10495566881
BlackRock,AMZN,023135106,2024-12-31,18608803,4082585290,MAX_ACROSS_FILER_CIKS,0002012383,0001060021-25-000002,2025-02-07,10515011008
BlackRock,AMZN,023135106,2025-03-31,19097669,3633522504,MAX_ACROSS_FILER_CIKS,0002012383,0001576419-25-000869,2025-05-02,10597729352
BlackRock,AMZN,023135106,2025-06-30,20946864,4595532493,MAX_ACROSS_FILER_CIKS,0002012383,0001060021-25-000120,2025-08-12,10616352407
BlackRock,AMZN,023135106,2025-09-30,21540179,4729577103,MAX_ACROSS_FILER_CIKS,0002012383,0002012383-25-002949,2025-11-12,10664912097
BlackRock,MSFT,594918104,2013-06-30,209298093,7230203,MAX_ACROSS_FILER_CIKS,0000913414,0001086364-13-004120,2013-08-13,8351106590
BlackRock,MSFT,594918104,2013-09-30,211474666,7037877,MAX_ACROSS_FILER_CIKS,0000913414,0001086364-13-004307,2013-11-12,8329956402
BlackRock,MSFT,594918104,2013-12-31,207264208,7753754,MAX_ACROSS_FILER_CIKS,0000913414,0001086364-14-002233,2014-02-12,8347968348
BlackRock,MSFT,594918104,2014-03-31,207285821,8496646,MAX_ACROSS_FILER_CIKS,0000913414,0001086364-14-002323,2014-05-02,8300723725
BlackRock,MSFT,594918104,2014-06-30,208795149,8706758,MAX_ACROSS_FILER_CIKS,0000913414,0001086364-14-002506,2014-08-06,8260411967
BlackRock,MSFT,594918104,2014-09-30,219484803,10175315,MAX_ACROSS_FILER_CIKS,0000913414,0001086364-14-002625,2014-10-29,8239848789
BlackRock,MSFT,594918104,2014-12-31,220325193,10234105,MAX_ACROSS_FILER_CIKS,0000913414,0001086364-15-002005,2015-02-09,8242852827
BlackRock,MSFT,594918104,2015-03-31,219848709,8937949,MAX_ACROSS_FILER_CIKS,0000913414,0001086364-15-002128,2015-05-13,8203785341
BlackRock,MSFT,594918104,2015-06-30,209104021,9231943,MAX_ACROSS_FILER_CIKS,0000913414,0001086364-15-002173,2015-08-07,8089575277
BlackRock,MSFT,594918104,2015-09-30,205912876,9113704,MAX_ACROSS_FILER_CIKS,0000913414,0001086364-15-002212,2015-11-13,7997980969
BlackRock,MSFT,594918104,2015-12-31,206295563,11445278,MAX_ACROSS_FILER_CIKS,0000913414,0001086364-16-002277,2016-02-11,7987913152
BlackRock,MSFT,594918104,2016-03-31,208079583,11492235,MAX_ACROSS_FILER_CIKS,0000913414,0001086364-16-002288,2016-05-10,7909302774
BlackRock,MSFT,594918104,2016-06-30,204335731,10455859,MAX_ACROSS_FILER_CIKS,0000913414,0001034551-16-000007,2016-08-10,7860466856
BlackRock,MSFT,594918104,2016-09-30,205994090,11865260,MAX_ACROSS_FILER_CIKS,0000913414,0001086364-16-002329,2016-11-08,7792515573
BlackRock,MSFT,594918104,2016-12-31,209175632,12998174,MAX_ACROSS_FILER_CIKS,0000913414,0001086364-17-000008,2017-02-10,7775350501
BlackRock,MSFT,594918104,2017-03-31,9142342,602115,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-17-000069,2017-05-12,7727529820
BlackRock,MSFT,594918104,2017-06-30,11747964,809787,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-17-000071,2017-08-10,7720514731
BlackRock,MSFT,594918104,2017-09-30,12206681,909276,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-17-000128,2017-11-14,7702243979
BlackRock,MSFT,594918104,2017-12-31,11450288,979458,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-18-000003,2018-02-09,7714590195
BlackRock,MSFT,594918104,2018-03-31,11579342,1056847,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-18-000035,2018-05-09,7699792852
BlackRock,MSFT,594918104,2018-06-30,23342069,2301761,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-18-000066,2018-08-09,7683197503
BlackRock,MSFT,594918104,2018-09-30,21297638,2435811,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-18-000095,2018-11-09,7668217316
BlackRock,MSFT,594918104,2018-12-31,21123557,2145520,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-19-000003,2019-02-08,7676218736
BlackRock,MSFT,594918104,2019-03-31,20968423,2473016,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-19-000034,2019-05-09,7672213446
BlackRock,MSFT,594918104,2019-06-30,20360807,2727534,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-19-000100,2019-08-23,7662817920
